recipe_code,source_recipe_code,recipe_name,recipe_display_name,source,status,category,meal_type,preference
ANN-000577,BFP161,LASAGNE WITH MEAT SAUCE,Lasagne with meat sauce,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000742,BFP428,EGG CUTLET,Egg cutlet (Anda cutlet),bfp_manual,active,starter,"[""snack""]",eggetarian
ANN-000163,ASC167,Sambar,Sambar,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000468,ASC492,Stewed apple,Stewed apple,asc_manual,active,snack,"[""snack""]",vegetarian
ANN-000319,ASC330,Stewed Apple with Custard,Stewed apple with custard,asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000608,BFP208,PALAK MUSHROOM,Spinach mushroom (Palak mushroom),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000265,ASC273,Cucumber Raita,Cucumber raita (Kheere ka raita),asc_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000326,ASC337,Ghia Burfi,Bottle gourd burfi (Ghiya/Lauki burfi),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000172,ASC177,Brinjal Bhurtha,Brinjal bhartha (Baingan ka bhartha),asc_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000037,ASC038,Sweet open sandwich,Sweet open sandwich,asc_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000298,ASC309,Lemon Souffle,Lemon souffle,asc_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000658,BFP290,PARSLEY POTATO,Parsley potato,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000161,ASC164,Soyabean curry,Soyabean curry,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000073,ASC075,Egg Sauce,Egg sauce,asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",eggetarian
ANN-000598,BFP196,SHAHI KEEMA KOFTA CURRY,Shahi keema kofta curry,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000175,ASC180,Cauliflower with coconut,Cauliflower with coconut (Nariyal ke saath phoolgobhi),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
